OG0003590: CBRIG.QX1410.4355.1 CELEG.4R79.1a CINOP.Sp34_40219410.t1 CNIGO.Cni-nas-6
OG0003591: CBRIG.QX1410.4354.1 CELEG.4R79.2a CINOP.Sp34_40219500.t1 CNIGO.Cni-4R79.2.1
OG0003592: CBRIG.QX1410.2350.1 CELEG.AC3.10 CINOP.Sp34_50289900.t1 CNIGO.Cni-spe-10
OG0003593: CBRIG.QX1410.2379.1 CELEG.AC3.1a CINOP.Sp34_50289400.t1 CNIGO.Cni-sri-20.1
OG0003594: CBRIG.QX1410.2351.1 CELEG.AC3.5a CINOP.Sp34_50290000.t1 CNIGO.Cni-AC3.5.2
OG0003595: CBRIG.QX1410.5168.1 CELEG.AC7.1a CINOP.Sp34_40335800.t1 CNIGO.Cni-tkr-3.1
OG0003596: CBRIG.QX1410.5173.3 CELEG.AC7.3 CINOP.Sp34_40335700.t1 CNIGO.Cni-AC7.3.1
OG0003597: CBRIG.QX1410.10366.1 CELEG.AH6.4 CINOP.Sp34_20192710.t1 CNIGO.Cnig_chr_II.g4247.1
OG0003598: CBRIG.QX1410.17553.1 CELEG.AH9.1 CINOP.Sp34_X0104710.t1 CNIGO.Cni-AH9.1
OG0003599: CBRIG.QX1410.16993.1 CELEG.AH9.4 CINOP.Sp34_X0103900.t1 CNIGO.Cni-AH9.4
OG0003600: CBRIG.QX1410.16994.1 CELEG.AH9.6 CINOP.Sp34_X0104000.t1 CNIGO.Cni-AH9.6.2
OG0003601: CBRIG.QX1410.5916.1 CELEG.B0001.1a CINOP.Sp34_40238200.t1 CNIGO.Cni-lin-24
OG0003602: CBRIG.QX1410.5917.1 CELEG.B0001.4a CINOP.Sp34_40238310.t1 CNIGO.Cni-B0001.4.1
OG0003605: CBRIG.QX1410.5922.1 CELEG.B0001.7b CINOP.Sp34_40238900.t1 CNIGO.Cni-B0001.7
OG0003606: CBRIG.QX1410.5920.1 CELEG.B0001.8b CINOP.Sp34_40238400.t1 CNIGO.Cnig_chr_IV.g14169
OG0003607: CBRIG.QX1410.15988.1 CELEG.B0019.1 CINOP.Sp34_10033700.t1 CNIGO.Cni-amx-2
OG0003608: CBRIG.QX1410.2392.2 CELEG.B0024.10 CINOP.Sp34_50287500.t1 CNIGO.Cni-B0024.10.1
OG0003609: CBRIG.QX1410.2391.1 CELEG.B0024.11 CINOP.Sp34_50287600.t1 CNIGO.Cni-B0024.11
OG0003610: CBRIG.QX1410.2390.1 CELEG.B0024.12 CINOP.Sp34_50287700.t1 CNIGO.Cni-gna-1
